Date : 2026-04-07 23:21:43
Directory : d:\Workspace\GodotProject\cile\Scripts
Total : 61 files,  3073 codes, 517 comments, 422 blanks, all 4012 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         61 |      3,073 |        517 |        422 |      4,012 |
+----------+------------+------------+------------+------------+------------+
| d:\Workspace\GodotProject\cile\Scripts\Manager\EntityManager.cs                    | C#       |         69 |          0 |          6 |         75 |
| d:\Workspace\GodotProject\cile\Scripts\Manager\GameManager.cs                      | C#       |         46 |          7 |         13 |         66 |
| d:\Workspace\GodotProject\cile\Scripts\Manager\InputManager.cs                     | C#       |         76 |          5 |         10 |         91 |
| d:\Workspace\GodotProject\cile\Scripts\Manager\SceneManager.cs                     | C#       |         97 |         22 |          7 |        126 |
| d:\Workspace\GodotProject\cile\Scripts\Object\Card.cs                              | C#       |          6 |          0 |          2 |          8 |
| d:\Workspace\GodotProject\cile\Scripts\Object\Map.cs                               | C#       |         97 |         15 |          9 |        121 |
| d:\Workspace\GodotProject\cile\Scripts\Object\Player.cs                            | C#       |         47 |         25 |          6 |         78 |
| d:\Workspace\GodotProject\cile\Scripts\Object\Terrain.cs                           | C#       |        263 |         50 |         23 |        336 |
| d:\Workspace\GodotProject\cile\Scripts\Object\Unit.cs                              | C#       |         34 |         12 |          7 |         53 |
| d:\Workspace\GodotProject\cile\Scripts\Resource\CardData.cs                        | C#       |         19 |         18 |          3 |         40 |
| d:\Workspace\GodotProject\cile\Scripts\Resource\CharacterData.cs                   | C#       |         16 |          9 |          2 |         27 |
| d:\Workspace\GodotProject\cile\Scripts\Resource\TerrainData.cs                     | C#       |         20 |          0 |          2 |         22 |
| d:\Workspace\GodotProject\cile\Scripts\Resource\UnitData.cs                        | C#       |         13 |          3 |          4 |         20 |
| d:\Workspace\GodotProject\cile\Scripts\Server\Entity\User.cs                       | C#       |         17 |          3 |          1 |         21 |
| d:\Workspace\GodotProject\cile\Scripts\Server\Service\UserManager.cs               | C#       |         21 |          4 |          3 |         28 |
| d:\Workspace\GodotProject\cile\Scripts\Test\AudioTest.cs                           | C#       |         64 |          0 |          2 |         66 |
| d:\Workspace\GodotProject\cile\Scripts\Test\Test.cs                                | C#       |         25 |          0 |          5 |         30 |
| d:\Workspace\GodotProject\cile\Scripts\UI\ActiveUI\TurnPanel.cs                    | C#       |         51 |          0 |          7 |         58 |
| d:\Workspace\GodotProject\cile\Scripts\UI\Button\ActiveButton.cs                   | C#       |         39 |          0 |          5 |         44 |
| d:\Workspace\GodotProject\cile\Scripts\UI\Button\BackButton.cs                     | C#       |         14 |          0 |          4 |         18 |
| d:\Workspace\GodotProject\cile\Scripts\UI\Button\BackMainMenuButton.cs             | C#       |         14 |          0 |          4 |         18 |
| d:\Workspace\GodotProject\cile\Scripts\UI\Button\TextureButtonSizeChangeByState.cs | C#       |         34 |          0 |          7 |         41 |
| d:\Workspace\GodotProject\cile\Scripts\UI\GameMenu.cs                              | C#       |         15 |          0 |          4 |         19 |
| d:\Workspace\GodotProject\cile\Scripts\UI\GameUI\DebugUI.cs                        | C#       |         47 |          2 |          6 |         55 |
| d:\Workspace\GodotProject\cile\Scripts\UI\GameUI\PUI.cs                            | C#       |         55 |          3 |          7 |         65 |
| d:\Workspace\GodotProject\cile\Scripts\UI\GameUI\SelectedUI.cs                     | C#       |         73 |          1 |          9 |         83 |
| d:\Workspace\GodotProject\cile\Scripts\UI\GameUI\UIMarks.cs                        | C#       |         27 |          3 |          6 |         36 |
| d:\Workspace\GodotProject\cile\Scripts\UI\HandBookMenu.cs                          | C#       |         21 |          0 |          4 |         25 |
| d:\Workspace\GodotProject\cile\Scripts\UI\MainMenu.cs                              | C#       |         30 |          0 |          4 |         34 |
| d:\Workspace\GodotProject\cile\Scripts\UI\SettingMenu.cs                           | C#       |         60 |          4 |          7 |         71 |
| d:\Workspace\GodotProject\cile\Scripts\UI\SettingUI\BaseSetting.cs                 | C#       |         39 |          0 |          6 |         45 |
| d:\Workspace\GodotProject\cile\Scripts\UI\SettingUI\GraphSetting.cs                | C#       |         29 |          4 |          4 |         37 |
| d:\Workspace\GodotProject\cile\Scripts\Utils\Coroutine.cs                          | C#       |        112 |         37 |         13 |        162 |
| d:\Workspace\GodotProject\cile\Scripts\Utils\Tools.cs                              | C#       |         18 |          0 |          2 |         20 |
| Total                                                                              |          |      3,073 |        517 |        422 |      4,012 |
+------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
